name,artist,uri,key,mode,acousticness,danceability,energy,liveness,loudness,tempo,valence,popularity
PLAY,CHUNG HA,spotify:track:1SdLedoEjrMRu5AnvK2EYk,3,0,0.17,0.637,0.94,0.152,-0.792,103.934,0.884,50
One Day At A Time,ATEEZ,spotify:track:1eFk8R4OobU7kaAZdfYBKz,1,1,0.197,0.723,0.681,0.109,-4.082,101.015,0.382,57
Kill This Love,BLACKPINK,spotify:track:18PergoIrGmRyeYxnaXJN2,2,1,0.318,0.738,0.861,0.325,-4.141,131.98,0.58,56
OHIO,Crush,spotify:track:3fxIgoqvwprUbhV1XEHrG5,4,0,0.414,0.791,0.871,0.0742,-3.536,94.941,0.687,49
Dolphin,OH MY GIRL,spotify:track:3NfgdU9mbIVhcJF3XvC0c9,4,1,0.171,0.858,0.68,0.173,-4.531,113.993,0.621,68
Like This Summer,3YE,spotify:track:3LajoYXuSQ9ecsCr4TOD9t,7,0,0.0883,0.693,0.93,0.297,-1.725,126.926,0.762,24
Maria,Hwa Sa,spotify:track:0ZeGfEAL5Rl4pd5LZBGuEK,9,0,0.238,0.658,0.749,0.272,-2.967,128.909,0.442,77
沸,LAY,spotify:track:7IyNMaeMe1rt9DqiXbcSUf,7,1,0.567,0.915,0.566,0.104,-4.463,126.025,0.344,44
People,Agust D,spotify:track:0SJ7vFES0Lj6pnumh3DhCe,1,1,0.0616,0.76,0.682,0.118,-6.441,120.008,0.372,71
ECHO,KATIE,spotify:track:6OSFO9R4wCNxksLMSzNEQx,3,0,0.561,0.6,0.585,0.218,-5.628,90.174,0.386,54
Make It Right (feat. Lauv),BTS,spotify:track:314ZkcV7oLWG8yWE7LABvH,7,1,0.0304,0.584,0.685,0.189,-7.811,97.551,0.345,75
bye bye i finally disappear from your life,msftz,spotify:track:7yDkk7GZ9GemJcAG0JD0G9,2,1,0.884,0.534,0.358,0.352,-7.668,128.392,0.134,30
FEVER,ATEEZ,spotify:track:2dPETee06bbHulsABk0h7I,7,1,0.135,0.646,0.86,0.131,-2.409,92.962,0.711,57
BAZOOKA!,GWSN,spotify:track:5UDDTTQ5cUrH3FYubQ34Y9,4,0,0.0288,0.739,0.746,0.21,-6.146,129.944,0.657,52
THANXX,ATEEZ,spotify:track:0YXpDiXEQlRmVSAFcub7sE,4,0,0.0395,0.604,0.961,0.242,-1.692,164.847,0.645,67
WHO DO U LOVE? (feat. French Montana),Monsta X,spotify:track:4koDrJbYxIlcDY4gu2a4I8,10,0,0.288,0.79,0.648,0.117,-5.622,101.989,0.397,56
MIDDLE OF THE NIGHT,Monsta X,spotify:track:2QqHAiFdDZKFJkr1xCV9dG,0,1,0.111,0.737,0.764,0.0423,-5.511,92.044,0.924,65
Your eyes tell,BTS,spotify:track:3TZ7NHkMT82AhwuYsd00Hz,9,0,0.279,0.449,0.491,0.0654,-6.433,139.923,0.258,77
SAVAGE,A.C.E,spotify:track:1ORdoHKOgLdfQM6oNaYAUZ,7,1,0.0132,0.59,0.903,0.112,-2.585,160.08,0.733,58
TO THE BEAT,ATEEZ,spotify:track:3c8UznwIeQjux7OWT0Wa0s,1,0,0.108,0.774,0.926,0.301,-2.973,74.979,0.864,58
DUMDi DUMDi,(G)I-DLE,spotify:track:2fJ70dRX7J4jiVxKUQQp7C,4,1,0.025,0.759,0.914,0.076,-1.072,123.047,0.674,66
WONDERLAND,ATEEZ,spotify:track:6k67RdkVjTZj79c1cRz7IQ,4,0,0.0503,0.572,0.964,0.372,-1.949,129.979,0.519,69
COME BACK HOME,ONEUS,spotify:track:2GbLNlv90cp9bQgYb0rkip,6,0,0.0785,0.67,0.899,0.318,-2.757,119.971,0.411,45
Double Knot,Stray Kids,spotify:track:7vZseKiQOIuFxxfi84302k,5,0,0.0486,0.716,0.814,0.607,-2.889,146.925,0.575,60
2YA2YAO!,SUPER JUNIOR,spotify:track:7iQTGSIl9m4jofHBGby9kZ,7,1,0.0941,0.789,0.884,0.0569,-2.659,100.09,0.607,55
Good Lil Boy,ATEEZ,spotify:track:5U8pXQSdhTtQ8bp6K6vb9Y,9,0,0.151,0.602,0.924,0.369,-2.372,146.018,0.732,56
Lemonade,OH MY GIRL,spotify:track:0NOUDxzscaC0MJ8q9Fkt3z,4,0,0.187,0.742,0.906,0.319,-3.374,128.027,0.611,28
Lazy Me,Sandeul,spotify:track:7IKiYUKvU394eoRD9TYDfJ,1,0,0.664,0.718,0.378,0.0945,-7.167,75.02,0.462,39
What do you think?,Agust D,spotify:track:3i8GllbdGuwIXaVrlIoE0r,1,1,0.149,0.739,0.725,0.0793,-5.741,118.994,0.136,66
Krystal,OH MY GIRL,spotify:track:2M3B0BUhJJSroLoyIkINvz,1,1,0.15,0.637,0.802,0.0911,-2.841,100.069,0.352,35
YOU CAN'T HOLD MY HEART,Monsta X,spotify:track:6nxOW44RKSH3OBw6ZP8yuZ,0,1,0.102,0.81,0.574,0.08,-5.038,134.001,0.422,59
Left & Right,SEVENTEEN,spotify:track:66orj0qtDgnU6DlmllAxbq,6,0,0.132,0.725,0.823,0.104,-3.868,149.994,0.958,58
Secret Story of the Swan,IZ*ONE,spotify:track:3FARQP8fA49bSsTWjNyWmY,7,0,0.131,0.703,0.941,0.319,-0.995,102.969,0.758,65
Stay Tonight,CHUNG HA,spotify:track:3As0OA5B06BxLfADvYyG8L,2,0,0.203,0.625,0.831,0.0783,-2.186,121.025,0.491,48
Filter,BTS,spotify:track:5c1XGYFuC16Z7FIvWu6S0j,10,0,0.0222,0.781,0.762,0.121,-5.188,110.042,0.86,0
NOT BY THE MOON,GOT7,spotify:track:1pmfd0ohjfh1qXPWvjaC1o,5,0,0.0556,0.549,0.813,0.207,-4.828,151.813,0.544,68
FIESTA,IZ*ONE,spotify:track:71vPAjlG1x606483GTJNhY,7,1,0.062,0.758,0.927,0.343,-2.105,122.999,0.738,64
Love Me Harder,WOODZ,spotify:track:6fDFxA3j4WpfeCVihCPWSH,10,0,0.0213,0.732,0.804,0.132,-3.91,129.98,0.657,56
SUPER Clap,SUPER JUNIOR,spotify:track:3JBP6rYf7P4ortzcj2X6tC,0,1,0.0452,0.768,0.951,0.275,-4.404,140.026,0.878,46
Naughty,Red Velvet - IRENE & SEULGI,spotify:track:0P8lbWigAHXPKxUG60xh79,7,1,0.055,0.693,0.759,0.116,-2.9,112.983,0.635,65
THE ANSWER,AB6IX,spotify:track:1L1N5X35wFk8d5VlyNy2Oa,7,0,0.121,0.78,0.75,0.0736,-4.428,143.072,0.902,51
Oh my god,(G)I-DLE,spotify:track:2DmRXiyn03tOqKgEJXlaiJ,4,0,0.0358,0.794,0.762,0.191,-3.525,109.97,0.482,71
ON (Feat. Sia),BTS,spotify:track:3IB5qOeMayvpOdHxYCL5tZ,9,0,0.137,0.591,0.848,0.372,-4.397,105.922,0.386,67
"Count 1, 2",TOO,spotify:track:7xcAVSOiUW7DMKVN5PB6nr,5,0,0.0714,0.753,0.792,0.122,-5.428,119.918,0.754,41
Thunder,VERIVERY,spotify:track:49ElX137FL4cxosbsxNHR6,9,1,0.0352,0.577,0.879,0.362,-1.806,161.918,0.422,42
I'm in Trouble,NU'EST,spotify:track:30iB3Vk6T4gAUfZ0OvmwxY,8,0,0.153,0.829,0.627,0.0702,-4.533,100.047,0.733,41
Be Yourself,CHUNG HA,spotify:track:509VlYwebt36Tn80X5y4vC,4,0,0.114,0.596,0.874,0.245,-1.86,115.053,0.646,37
Girls,NATURE,spotify:track:64HHzg4ILYpcYOGS0XQzOo,5,0,0.00734,0.693,0.835,0.128,-3.283,115.05,0.637,52
My Friend,CHUNG HA,spotify:track:0vFKaaqXkeaaC2iGtKRGyt,6,1,0.469,0.854,0.618,0.12,-5.927,131.981,0.836,49
GANG - Official Remix,Sik-K,spotify:track:1s0omF56w0oAEZiWp1VNS7,11,0,0.019,0.681,0.806,0.0968,-3.983,150.062,0.557,45
Zombie,DAY6,spotify:track:4s0dJmVknlUl7V6oK3puzZ,0,1,0.0117,0.79,0.542,0.0818,-4.119,121.982,0.527,65
NINETEEN,NATTY,spotify:track:3mVzC9U8eyAmDNWnPniCIN,6,0,0.0721,0.701,0.835,0.0652,-3.788,121.062,0.456,43
